address,latitude,longitude
"128 Shoreditch High Street, London, E1 6JE, UK",51.526783505234, -0.078340703658
"64-68 New Oxford Street, London, WC1A 1AZ, UK",51.516943085975, -0.127206708838
"128 Queen Victoria Street, London, EC4V 4BY, UK",51.51207598928, -0.097775990189
"67 Coleman Street, London, EC2R 5BT, UK",51.516543585582, -0.089465165552
"5-11 Mortimer Street, London, W1T 3JB, UK",51.518643419965, -0.13727252378
"Retail Unit 1 Thomas More Square, London, E1W 1YN, UK",51.507794680776, -0.068598920511
"77-78 Saint Martin's Lane, London, WC2N 4AA, UK",51.51164310589, -0.127300825029
"3-5 Praed Street, London, W2 1NJ, UK",51.51867546044, -0.16928207174
"367B Fulham Road, London, SW10 9TN, UK",51.48541882151, -0.181703925391
"7-9 Queensway, London, W2 4QJ, UK",51.510768286656, -0.187281472696
"163 Piccadilly, London, W1J 9ED, UK",51.507770498985, -0.14011801227
"152 Waterloo Road, London, SE1 7AA, UK",51.502416587548, -0.110326101591
"141 Cheapside, London, EC2V 6BJ, UK",51.514547602979, -0.095994081393
"111 Westminster Bridge Road, London, SE1 7HR, UK",51.499036597786, -0.11316767899
"83 Chancery Lane, London, WC2A 1DD, UK",51.515830892849, -0.111945924517
"Pancras Rd, London, N1C 4AP, UK",51.53090450984, -0.124352406768
"3-5 Saint John Street, London, EC1M 4AA, UK",51.520006987974, -0.101909609559
"Arch 16 Station Place, London, N4 2DQ, UK",51.565070921978, -0.105607059182
"Cabot Square, London, E14 4QS, UK",51.506020692878, -0.02351098695
"Ariel Way, London, W12 7GA, UK",51.507457686359, -0.222295699745
"Ariel Way, London, W12 7HT, UK",51.510101715806, -0.221717180787
"4 Regent Place, London, W1B 5EA, UK",51.511153099831, -0.138306599175
"21 Spafield Street, London, EC1R 4QD, UK",51.525531709905, -0.110085066459
"202-206 Union Street, London, SE1 0LX, UK",51.503845714733, -0.102554680827
"92 Buckingham Palace Road, London, SW1W 0SS, UK",51.494366201337, -0.146870976382
"219 Finchley Road, London, NW3 6LP, UK",51.547393890715, -0.180182948266
"168-188 Fulham Palace Road, London, W6 9PA, UK",51.484812885283, -0.220396695761
"120-125 Strand, London, WC2R 0AP, UK",51.511018486466, -0.119534824099
"7-8 Saint Martin's Place, London, WC2N 4HA, UK",51.509293406973, -0.126720294415
"15 Old Brompton Road, London, SW7 3HZ, UK",51.493429691295, -0.174171505577
"161 City Road, London, EC1V 1NR, UK",51.527847326534, -0.089873259796
"Belvedere Road, London, SE1 8XX, UK",51.505267063374, -0.11608604477
"1 George Street, London, W1U 3QF, UK",51.517792195789, -0.154724316744
"190 Strand, London, WC2R 1DP, UK",51.512352508266, -0.113817527943
"192 Shoreditch High Street, London, E1 6HU, UK",51.52390201647, -0.077474601603
"3 Duke of York Street, London, SW1Y 6JP, UK",51.508246297719, -0.136425197188
"49-52 Bow Lane, London, EC4M 9DJ, UK",51.513611512032, -0.093300808265
"18 Hanover Street, London, W1S 1YN, UK",51.513898142354, -0.141740121095
"Hepdon Mews, London, SW17 0RE, UK",51.427798509331, -0.175228463567
"65 Long Acre, London, WC2E 9JD, UK",51.513913218637, -0.122847603691
"240-241 High Holborn, London, WC1V 7DN, UK",51.517655790654, -0.118747066382
"157 Camden High Street, London, NW1 7JY, UK",51.53811818526, -0.142199490286
"2 White Kennett Street, London, E1 7BS, UK",51.515255367177, -0.077049403156
